IP地址,端口,回源端口,TLS,数据中心,地区,国家,城市,TCP延迟(ms),速度(MB/s)
150.230.146.170,2053,443,true,FRA,Europe,DE,Frankfurt,260,3.76
152.70.59.90,8443,443,true,AMS,Europe,NL,Amsterdam,346,3.72
158.180.228.226,443,443,true,MXP,Europe,IT,Milan,386,3.70
151.145.39.237,443,443,true,ORD,North America,US,Chicago,374,3.66
89.168.43.31,8443,443,true,CDG,Europe,FR,Paris,434,3.64
150.136.196.77,443,443,true,IAD,North America,US,Ashburn,471,3.60
144.24.243.207,443,443,true,FRA,Europe,DE,Frankfurt,266,3.40
89.168.17.228,443,443,true,MXP,Europe,IT,Milan,405,3.33
158.179.207.182,2053,443,true,ARN,Europe,SE,Stockholm,238,3.14
158.180.231.216,443,443,true,MRS,Europe,FR,Marseille,295,2.82
155.248.178.58,80,443,true,NRT,Asia Pacific,JP,Tokyo,80,2.73
129.80.116.250,443,443,true,IAD,North America,US,Ashburn,247,2.69
129.158.198.241,2053,443,true,IAD,North America,US,Ashburn,257,2.44
144.22.252.124,443,443,true,GRU,South America,BR,São Paulo,355,2.38
168.138.141.235,2053,443,true,GRU,South America,BR,São Paulo,402,2.33
129.159.132.0,2053,443,true,TLV,Middle East,IL,Tel Aviv,391,2.30
158.178.206.197,8443,443,true,CDG,Europe,FR,Paris,180,2.22
129.151.254.48,443,443,true,MRS,Europe,FR,Marseille,143,2.17
152.70.49.115,443,443,true,AMS,Europe,NL,Amsterdam,405,2.08
129.159.132.0,8443,443,true,TLV,Middle East,IL,Tel Aviv,326,1.93
158.178.206.197,2053,443,true,CDG,Europe,FR,Paris,299,1.92
140.238.158.238,443,443,true,YYZ,North America,CA,Toronto,305,1.88
146.235.59.153,2053,443,true,GRU,South America,BR,São Paulo,391,1.82
140.238.158.238,8080,443,true,YYZ,North America,CA,Toronto,334,1.75
129.158.198.241,8443,443,true,IAD,North America,US,Ashburn,318,1.66
168.138.165.174,443,443,true,SIN,Asia Pacific,SG,Singapore,105,1.48
89.168.43.31,2053,443,true,CDG,Europe,FR,Paris,437,1.48
152.70.90.168,443,443,true,ICN,Asia Pacific,KR,Seoul,194,1.41
146.235.59.153,8443,443,true,GRU,South America,BR,São Paulo,455,1.33
193.122.58.158,443,443,true,FRA,Europe,DE,Frankfurt,321,1.19
129.146.254.39,443,443,true,LAX,North America,US,Los Angeles,211,1.04
150.230.20.156,8443,443,true,AMS,Europe,NL,Amsterdam,266,0.95
141.147.61.116,8443,443,true,FRA,Europe,DE,Frankfurt,226,0.93
158.178.153.80,2096,443,true,AMS,Europe,NL,Amsterdam,282,0.88
158.180.49.11,8443,443,true,FRA,Europe,DE,Frankfurt,329,0.83
150.230.149.208,443,443,true,FRA,Europe,DE,Frankfurt,250,0.77
140.238.214.247,443,443,true,FRA,Europe,DE,Frankfurt,231,0.76
141.147.144.246,8080,443,true,KIX,Asia Pacific,JP,Osaka,131,0.73
144.24.169.81,2053,443,true,FRA,Europe,DE,Frankfurt,309,0.70
129.159.84.71,443,443,true,IAD,North America,US,Ashburn,372,0.66
150.230.20.156,2053,443,true,AMS,Europe,NL,Amsterdam,266,0.57
143.47.243.144,8443,443,true,LHR,Europe,GB,London,238,0.51
143.47.243.144,2053,443,true,LHR,Europe,GB,London,200,0.40
168.138.46.67,443,443,true,KIX,Asia Pacific,JP,Osaka,148,0.37
89.168.68.57,2053,443,true,FRA,Europe,DE,Frankfurt,285,0.33
141.144.198.113,8443,443,true,AMS,Europe,NL,Amsterdam,323,0.33
89.168.68.57,8443,443,true,FRA,Europe,DE,Frankfurt,241,0.32
152.67.65.201,443,443,true,ZRH,Europe,CH,Zurich,219,0.28
140.84.179.114,443,443,true,DFW,North America,US,Dallas,319,0.23
130.162.228.90,443,443,true,FRA,Europe,DE,Frankfurt,196,0.20
132.226.163.224,2053,443,true,GRU,South America,BR,São Paulo,488,0.20
152.67.78.184,443,443,true,ZRH,Europe,CH,Zurich,212,0.17
152.70.248.96,443,443,true,ICN,Asia Pacific,KR,Seoul,178,0.14
140.238.212.95,443,443,true,FRA,Europe,DE,Frankfurt,282,0.12
132.145.54.84,2053,443,true,LHR,Europe,GB,London,340,0.11
129.159.241.172,443,443,true,FRA,Europe,DE,Frankfurt,246,0.11
141.147.47.32,2053,443,true,FRA,Europe,DE,Frankfurt,304,0.11
152.69.197.102,443,443,true,KIX,Asia Pacific,JP,Osaka,220,0.10
132.145.54.84,8443,443,true,LHR,Europe,GB,London,352,0.09
193.122.107.147,443,443,true,ICN,Asia Pacific,KR,Seoul,79,0.07
193.122.107.147,443,443,true,ICN,Asia Pacific,KR,Seoul,267,0.05
141.148.187.195,443,443,true,LAX,North America,US,Los Angeles,359,0.04
164.152.17.14,443,443,true,ORD,North America,US,Chicago,294,0.03
152.67.222.250,80,80,false,ICN,Asia Pacific,KR,Seoul,68,0.00
131.186.19.112,2082,2082,false,ICN,Asia Pacific,KR,Seoul,73,0.00
146.56.133.140,2096,80,false,ICN,Asia Pacific,KR,Seoul,73,0.00
140.238.19.2,443,80,false,ICN,Asia Pacific,KR,Seoul,73,0.00
150.230.62.27,443,80,false,KIX,Asia Pacific,JP,Osaka,76,0.00
146.56.117.129,2052,2086,false,ICN,Asia Pacific,KR,Seoul,76,0.00
131.186.30.44,8880,80,false,ICN,Asia Pacific,KR,Seoul,79,0.00
168.138.47.238,8443,80,false,KIX,Asia Pacific,JP,Osaka,79,0.00
140.83.57.116,8443,80,false,KIX,Asia Pacific,JP,Osaka,82,0.00
146.56.133.140,2083,80,false,ICN,Asia Pacific,KR,Seoul,87,0.00
131.186.30.44,2082,2082,false,ICN,Asia Pacific,KR,Seoul,92,0.00
131.186.19.112,2052,80,false,ICN,Asia Pacific,KR,Seoul,93,0.00
146.56.162.25,80,80,false,ICN,Asia Pacific,KR,Seoul,95,0.00
193.123.233.143,2096,80,false,ICN,Asia Pacific,KR,Seoul,99,0.00
140.245.38.247,80,80,false,SIN,Asia Pacific,SG,Singapore,101,0.00
193.122.125.14,8880,8880,false,ICN,Asia Pacific,KR,Seoul,130,0.00
144.24.200.164,80,80,false,MRS,Europe,FR,Marseille,157,0.00
146.56.169.86,2086,2052,false,ICN,Asia Pacific,KR,Seoul,170,0.00
140.83.61.244,443,443,true,LAX,North America,US,Los Angeles,171,0.00
146.235.204.107,80,80,false,SJC,North America,US,San Jose,172,0.00
138.2.61.180,443,443,true,KIX,Asia Pacific,JP,Osaka,180,0.00
152.70.155.147,2086,2086,false,LAX,North America,US,Los Angeles,191,0.00
141.147.85.167,8443,443,true,LHR,Europe,GB,London,199,0.00
152.70.155.147,2082,2082,false,LAX,North America,US,Los Angeles,205,0.00
165.1.76.23,80,80,false,SJC,North America,US,San Jose,205,0.00
152.70.155.147,8080,8080,false,LAX,North America,US,Los Angeles,207,0.00
130.162.61.18,80,80,false,FRA,Europe,DE,Frankfurt,211,0.00
152.70.155.147,80,80,false,LAX,North America,US,Los Angeles,212,0.00
152.70.155.147,2052,2052,false,LAX,North America,US,Los Angeles,216,0.00
158.101.211.65,443,443,true,FRA,Europe,DE,Frankfurt,217,0.00
152.70.155.147,8880,8880,false,LAX,North America,US,Los Angeles,217,0.00
129.154.198.15,8443,80,false,ICN,Asia Pacific,KR,Seoul,225,0.00
168.138.212.196,2096,2096,true,NRT,Asia Pacific,JP,Tokyo,231,0.00
158.101.148.105,443,443,true,NRT,Asia Pacific,JP,Tokyo,248,0.00
138.2.122.191,443,443,true,ICN,Asia Pacific,KR,Seoul,251,0.00
152.70.155.147,2095,2095,false,LAX,North America,US,Los Angeles,254,0.00
89.168.17.228,80,80,false,MXP,Europe,IT,Milan,255,0.00
129.146.60.210,443,443,true,LAX,North America,US,Los Angeles,258,0.00
192.18.134.22,443,443,true,SJC,North America,US,San Jose,259,0.00
150.136.87.192,443,443,true,IAD,North America,US,Ashburn,276,0.00
132.226.42.230,443,443,true,IAD,North America,US,Ashburn,295,0.00
158.180.228.226,80,80,false,MXP,Europe,IT,Milan,299,0.00
132.145.152.194,443,443,true,IAD,North America,US,Ashburn,327,0.00
129.146.143.207,443,80,false,LAX,North America,US,Los Angeles,331,0.00
164.152.34.166,80,8080,false,GRU,South America,BR,São Paulo,360,0.00
192.18.148.248,443,443,true,YYZ,North America,CA,Toronto,428,0.00
